"login","n_commits","inner_indegree","inner_outdegree","inner_betweenness","inner_incloseness","inner_outcloseness","outer_indegree","outer_outdegree","outer_betweenness","outer_incloseness","outer_outcloseness"
"DamonOehlman",1,0.0169014084507042,0.0460093896713615,0.00667660749409132,0.00201646113910174,0.00293005020978059,238,222,67324110.6489904,4.03342637346314e-11,6.95407524950029e-11
"DanielG",3,0.00375586854460094,0.00563380281690141,0.000440243071794478,0.00201404346173412,0.00292461094436099,53,44,8700575.59762097,4.03341302810815e-11,6.95393716845647e-11
"DannyNemer",1,0.000938967136150235,0.00469483568075117,3.56938671552879e-07,0.00201189758780091,0.00292012832113186,12,27,947769.94606867,4.0333977283673e-11,6.95393987646308e-11
"DavidCai1993",2,0.00469483568075117,0.0338028169014084,0.00127044699134529,0.00201342662525121,0.00293111467676548,305,199,50332458.3714101,4.03341038416616e-11,6.954075590916e-11
"DennisSchwartz",1,0,0.0028169014084507,0,0.000938086303939962,0.00292962302766224,8,4,799648.27236561,4.03339709227697e-11,6.95407006056602e-11
"DmitryBaranovskiy",5,0.0244131455399061,0.000938967136150235,0.000298453656104721,0.00201646877502835,0.00291877581335182,1904,14,119977131.044938,4.03343024472585e-11,6.95393865108983e-11
"DrPizza",15,0.00187793427230047,0,0,0.00202239253784628,0.000938086303939962,18,0,0,4.03365396512026e-11,2.17319571730358e-11
"ELLIOTTCABLE",2,0.0150234741784038,0.0413145539906103,0.00856089673721488,0.00201638860068311,0.00292728781973404,291,656,88718877.6653301,4.0334260314987e-11,6.95395527345506e-11
"EugenDueck",1,0,0,0,0.000938086303939962,0.000938086303939962,6,0,0,4.03346566348053e-11,2.17319571730358e-11
"EvanCarroll",1,0,0.000938967136150235,0,0.000938086303939962,0.00293238175480332,38,10,1860799.68845482,4.03341114097224e-11,6.9539369576189e-11
"FZambia",1,0,0.000938967136150235,0,0.000938086303939962,0.00291427117224848,89,33,8492043.75135363,4.03339856228038e-11,6.95394093548767e-11
"FeignMan",1,0,0.000938967136150235,0,0.000938086303939962,0.0029276096960234,5,6,28.5,2.17324637289331e-11,2.17325650429463e-11
"Fishrock123",111,0.0300469483568075,0.00187793427230047,0.00159933752189582,0.00201588097784424,0.00292544643960807,226,12,3977255.52405179,4.03342410758379e-11,6.95394200031546e-11
"Frijol",1,0.00845070422535211,0.000938967136150235,0.000485425445449901,0.0020154727750316,0.00292327835374138,204,19,13746363.2623259,4.03341669598961e-11,6.95393831935902e-11
"GUI",1,0,0,0,0.000938086303939962,0.000938086303939962,58,0,0,4.03424551979235e-11,2.17319571730358e-11
"Gioyik",3,0.000938967136150235,0,0,0.00201376165003659,0.000938086303939962,93,0,0,4.03481521537486e-11,2.17319571730358e-11
"Goyapa",1,0,0.000938967136150235,0,0.000938086303939962,0.00292289325264501,8,15,609377.935053408,4.0334054040899e-11,6.95394511646187e-11
"Havvy",2,0.000938967136150235,0,0,0.00201382638358382,0.000938086303939962,20,5,1893916.4486063,4.03340253923389e-11,6.95393044680631e-11
"Hello71",4,0,0,0,0.000938086303939962,0.000938086303939962,2,0,0,4.03343178698588e-11,2.17319571730358e-11
"HenryRawas",24,0.00187793427230047,0,0,0.0020200142633871,0.000938086303939962,45,0,0,4.03344308749301e-11,2.17319571730358e-11
"HyperSprite",1,0,0,0,0.000938086303939962,0.000938086303939962,4,1,98940,4.03356623982708e-11,2.17320584823261e-11
"Ingramz",1,0,0,0,0.000938086303939962,0.000938086303939962,5,11,989747.745248735,4.03357238293338e-11,2.17330716271824e-11
"IonicaBizau",2,0.00938967136150235,0.00187793427230047,0.000864369426416822,0.00201501517410488,0.00292756141006751,1240,90,296284724.53802,4.03342534236408e-11,6.95407353758636e-11
"JacksonTian",52,0.0131455399061033,0.0338028169014084,0.00181444198925769,0.00201490461838842,0.0029284791156818,9802,105,786839300.486307,4.03342627845493e-11,6.95395064564597e-11
"JacobEdelman",1,0,0,0,0.000938086303939962,0.000938086303939962,22,17,4115338.88051016,4.0333996132131e-11,6.95406719287314e-11
"JamesHight",1,0,0,0,0.000938086303939962,0.000938086303939962,5,0,0,4.03350699506812e-11,2.17319571730358e-11
"JayBeavers",1,0,0,0,0.000938086303939962,0.000938086303939962,22,4,2101856.17341744,4.03340177364614e-11,6.95394221212048e-11
"Jimbly",2,0.00187793427230047,0,0,0.00201618246735299,0.000938086303939962,7,1,6,2.17326663579042e-11,2.17320584823261e-11
"JonathanMontane",1,0,0,0,0.000938086303939962,0.000938086303939962,1,4,147535.84742298,4.0333917481501e-11,6.95393354263234e-11
"JonathanPrince",2,0.000938967136150235,0.000938967136150235,2.04360051802832e-06,0.00200976765953592,0.00292384014144248,4,2,147477.002581935,4.03339175075302e-11,6.95381127265584e-11
"JosephPecoraro",3,0.0028169014084507,0.00375586854460094,4.9887616709789e-05,0.00201440155250779,0.00292564735098428,38,5,1985004.96086099,4.03341656942107e-11,6.95379691400593e-11
"JungMinu",15,0.00657276995305164,0.0234741784037559,0.00409607582396178,0.002013837807583,0.0029305017073956,100,30,5890414.00733585,4.03341164659434e-11,6.95394829354139e-11
"KenanSulayman",4,0.00187793427230047,0.00938967136150235,0.000244560949862487,0.00201429487385597,0.00292584828995843,65,44,19407513.498485,4.03341589655812e-11,6.95407080142737e-11
"KiNgMaR",4,0,0,0,0.000938086303939962,0.000938086303939962,0,1,0,2.17319571730358e-11,2.17320584823261e-11
"LPGhatguy",1,0.000938967136150235,0,0,0.00201593439979102,0.000938086303939962,28,11,4093369.01364191,4.03339178133733e-11,6.95381269043913e-11
"LaurenSpiegel",1,0.00187793427230047,0.00187793427230047,3.39612865473851e-05,0.00201192039218279,0.00291862383460583,50,38,6321735.21571647,4.03341520677622e-11,6.95393842671214e-11
"LinusU",2,0.00563380281690141,0.028169014084507,0.00284575197535202,0.00201509142649552,0.00292909929509094,112,62,8352649.10584407,4.03342041170706e-11,6.95394435918581e-11
"Ltrlg",1,0,0,0,0.000938086303939962,0.000938086303939962,0,0,0,0,0
"MJefferson",1,0.000938967136150235,0.000938967136150235,0,0.00201188998645516,0.00292383211438361,37,58,7315751.27788061,4.0334065575169e-11,6.95394000509345e-11
"ManInTheBox",1,0,0.0197183098591549,0,0.000938086303939962,0.00293704789456412,42,64,4452051.17891243,4.03339940335188e-11,6.95394939318877e-11
"Martii",1,0,0.000938967136150235,0,0.000938086303939962,0.00291963198929742,23,23,4075664.57139587,4.03339774561169e-11,6.95393959115514e-11
"MauriceButler",2,0.000938967136150235,0,0,0.00201834897158961,0.000938086303939962,18,0,0,4.03355506439362e-11,2.17319571730358e-11
"MayhemYDG",1,0.00187793427230047,0,0,0.00201684682569141,0.000938086303939962,96,3,9526985.23783208,4.03342038112232e-11,6.95380222148677e-11
"MicTech",1,0,0.000938967136150235,0,0.000938086303939962,0.00291955995515117,21,11,2423377.67162539,4.03339608201629e-11,6.95379719833505e-11
"MichaelTheriot",1,0.000938967136150235,0.000938967136150235,1.57499578366888e-06,0.00201593439979102,0.000938967136150235,6,0,0,4.0335371432204e-11,2.17319571730358e-11
"MikeRalphson",3,0,0,0,0.000938086303939962,0.000938086303939962,4,5,395913.528140954,4.03339586825105e-11,6.95379520609745e-11
"MrOutput",2,0.000938967136150235,0.000938967136150235,0,0.00201189758780091,0.00291692115548422,12,13,602220.350526113,4.03360694545444e-11,2.17332742674896e-11
"NebuPookins",1,0,0.000938967136150235,0,0.000938086303939962,0.00292040858298485,14,5,1874413.04803228,4.03339912711598e-11,6.95393710365776e-11
"Nibbler999",1,0,0,0,0.000938086303939962,0.000938086303939962,3,1,98938,4.03347446933763e-11,2.17320584823261e-11
"Nicolab",1,0.000938967136150235,0.0122065727699531,0.000503319663150992,0.00201188998645516,0.00292788334652943,47,65,4389620.57707367,4.03340539172595e-11,6.95407260425511e-11
"Niggler",1,0,0,0,0.000938086303939962,0.000938086303939962,31,2,197894,4.03384237969572e-11,2.17321597925609e-11
"NoahDragon",1,0,0,0,0.000938086303939962,0.000938086303939962,9,22,1403806.78595106,4.03339756047848e-11,6.95394197226822e-11
"NoahRoseLedesma",1,0.000938967136150235,0.000938967136150235,0,0.0020097411113774,0.00292194697695091,5,2,246733.988385884,4.03338085723754e-11,6.95394041613037e-11
"OJezu",1,0,0,0,0.000938086303939962,0.000938086303939962,1,1,1,2.17320584823261e-11,2.17320584823261e-11
"Olegas",3,0.000938967136150235,0,0,0.00201551473218257,0.000938086303939962,16,1,1721168.56402689,4.03341534668479e-11,6.95379602716999e-11
"OleksandrChekhovskyi",1,0,0,0,0.000938086303939962,0.000938086303939962,2,0,0,4.03346154291161e-11,2.17319571730358e-11
"PartTimeLegend",1,0.000938967136150235,0,0,0.00201593439979102,0.000938086303939962,16,26,3220806.190485,4.03339625576157e-11,6.95379813546081e-11
"Qard",1,0.0131455399061033,0.0338028169014084,0.00133710822889983,0.00201594966372445,0.00292962302766224,106,28,2021127.07668549,4.03342007071975e-11,6.95394848213525e-11
"RReverser",4,0.0122065727699531,0.0103286384976526,0.00079634015543261,0.00201416535068226,0.00292489206736315,417,76,98468107.2777165,4.03342512729425e-11,6.95407291568789e-11
"RachBLondon",1,0.00187793427230047,0.00375586854460094,0.00025393455897533,0.00201191659141658,0.00292458685061815,47,90,11502879.1726226,4.03340569366672e-11,6.95407124439676e-11
"Raynos",3,0.0563380281690141,0.0178403755868545,0.0019435828976145,0.00201690029884213,0.00292587240449018,1184,33,41363216.5392626,4.03343159111229e-11,6.95394941446603e-11
"RubenVerborgh",1,0.000938967136150235,0.000938967136150235,5.08178521549607e-06,0.00201428344467057,0.00291581907137323,185,3,297093,4.03680193891305e-11,2.17322611037404e-11
"SPGB",1,0,0,0,0.000938086303939962,0.000938086303939962,6,2,197875,4.03350085411329e-11,2.17321597925609e-11
"SaltwaterC",4,0.0028169014084507,0.000938967136150235,5.44200877781308e-07,0.00201772949541606,0.000938967136150235,55,5,3354669.20479277,4.03340279301995e-11,6.95393091877211e-11
"Sannis",10,0.0187793427230047,0.162441314553991,0.0236827481657019,0.00201558720773985,0.00293154229403507,185,1101,196173986.758375,4.03342718493749e-11,6.95407997225932e-11
"Sequoia",3,0,0,0,0.000938086303939962,0.000938086303939962,33,10,2885673.02880619,4.03340617390881e-11,6.95393784158934e-11
"SgtPooki",1,0.000938967136150235,0.000938967136150235,1.4204958900835e-07,0.00201189758780091,0.00292026444159882,13,14,1313742.44221851,4.0333986647707e-11,6.95393849924803e-11
"SimenB",1,0.000938967136150235,0,0,0.00201593439979102,0.000938086303939962,23,1,98943,4.03371884359064e-11,2.17320584823261e-11
"Soarez",1,0.00375586854460094,0.00375586854460094,0.000851851763962879,0.00201364742451658,0.0029227568870032,99,36,7731781.92611595,4.03341277497154e-11,6.95394006312219e-11
"Southern",5,0.00469483568075117,0.0131455399061033,0.000694815203457482,0.00201534691405917,0.00292770627271378,56,53,7074503.23119401,4.03342004924536e-11,6.95395166502074e-11
"Tanuja-Sawant",1,0,0,0,0.000938086303939962,0.000938086303939962,0,0,0,0,0
"TheAlphaNerd",60,0.0206572769953052,0.0215962441314554,0.00248013954083911,0.00201568257825675,0.00292666036449975,359,130,34797766.7523838,4.03342216512462e-11,6.95395127912836e-11
"TierneyC",1,0,0,0,0.000938086303939962,0.000938086303939962,0,0,0,0,0
"TimothyGu",10,0.000938967136150235,0.000938967136150235,2.90023426357635e-05,0.00201469878834312,0.00291145088669399,117,8,7249170.25425084,4.03341020976892e-11,6.95393587151548e-11
"TooTallNate",197,0.0845070422535211,0.0356807511737089,0.0103854697305184,0.00201712950160802,0.00292942962767362,1829,77,89826012.9616209,4.03343173915628e-11,6.95395158281308e-11
"TrevorBurnham",3,0.00563380281690141,0,0,0.00202267677055438,0.000938086303939962,203,3,7650388.71222662,4.03342522750833e-11,6.95393662878969e-11
"TriAnMan",1,0,0,0,0.000938086303939962,0.000938086303939962,4,4,295489.727207588,2.17323624158644e-11,6.95445234568211e-11
"Trott",507,0.00938967136150235,0.000938967136150235,0.000504783084471743,0.00201787859381335,0.000938967136150235,90,11,5501110.13337308,4.03340831124778e-11,6.95393595178847e-11
"VanCoding",1,0.00187793427230047,0.0028169014084507,4.34803780535446e-05,0.00201517149771709,0.00292521341697887,34,3,296837,4.03379838018679e-11,2.17322611037404e-11
"WebReflection",1,0.0131455399061033,0,0,0.00201952396122514,0.000938086303939962,448,1,99045,4.03727037100785e-11,2.17320584823261e-11
"Williams-Dan",1,0,0,0,0.000938086303939962,0.000938086303939962,2,2,2,2.17321597925609e-11,2.17321597925609e-11
"XeCycle",4,0,0,0,0.000938086303939962,0.000938086303939962,12,0,0,4.03360124706295e-11,2.17319571730358e-11
"Zirak",2,0.000938967136150235,0,0,0.00201376165003659,0.000938086303939962,46,0,0,4.03399643167053e-11,2.17319571730358e-11
"a0viedo",5,0.00469483568075117,0.0234741784037559,3.7390881601439e-05,0.0020135408257219,0.00292725563599782,152,51,13364516.4944927,4.03341444899251e-11,6.95407466919039e-11
"aadityabhatia",1,0,0,0,0.000938086303939962,0.000938086303939962,7,6,593628,4.0335023551037e-11,2.17325650429463e-11
"aayn",1,0.000938967136150235,0,0,0.00201593439979102,0.000938086303939962,5,0,0,2.17324637289331e-11,2.17319571730358e-11
"abi",1,0.000938967136150235,0.00657276995305164,0.00050527414020573,0.00201461875468186,0.00292690970552265,124,67,9956387.72231958,4.03342163607326e-11,6.9539423107694e-11
"abouthiroppy",1,0.00187793427230047,0,0,0.00201627789421073,0.000938086303939962,47,7,3191585.57528057,4.03339758357946e-11,6.95393604076576e-11
"abram",1,0,0,0,0.000938086303939962,0.000938086303939962,12,0,0,4.03351310545551e-11,2.17319571730358e-11
"aconbere",2,0.00375586854460094,0.00375586854460094,0.00138406800489877,0.00201412725880117,0.00292580809995549,101,48,9967204.92258951,4.03341822587525e-11,6.95394233494806e-11
"adamesque",1,0,0,0,0.000938086303939962,0.000938086303939962,18,0,0,4.03388625177656e-11,2.17319571730358e-11
"adammw",5,0.00563380281690141,0.00938967136150235,0.000544794425295979,0.00201555669108045,0.00292686144265413,41,25,3451763.22848643,4.03341764248826e-11,6.95394088036036e-11
"adamwiggins",1,0.00563380281690141,0.0028169014084507,0.00130850556141897,0.00201488555828411,0.00291732865830274,586,13,32447103.6303601,4.03342997141407e-11,6.95393866559701e-11
"addaleax",108,0.0187793427230047,0.00751173708920188,0.0024946283680932,0.00201477501678979,0.0029243057862813,80,13,4636320.91673775,4.03341730442974e-11,6.95380019636466e-11
"adrian-nitu-92",3,0,0,0,0.000938086303939962,0.000938086303939962,0,0,0,0,0
"adrianheine",1,0,0,0,0.000938086303939962,0.000938086303939962,39,24,5490873.85274227,4.03339821413871e-11,6.95393814237146e-11
"aeosynth",1,0.000938967136150235,0,0,0.00201747340344922,0.000938086303939962,47,0,0,4.03404286578346e-11,2.17319571730358e-11
"agcolom",2,0,0,0,0.000938086303939962,0.000938086303939962,154,18,10078259.1768521,4.03341237053869e-11,6.95394417446077e-11
"agl",6,0.0112676056338028,0,0,0.00202396834627533,0.000938086303939962,693,0,0,4.0447332424319e-11,2.17319571730358e-11
"agnat",3,0.00375586854460094,0.000938967136150235,0,0.002014538727379,0.00291691316637087,43,8,473842.072804315,4.03411540264203e-11,2.17327676738068e-11
"aheckmann",6,0.0338028169014084,0.0253521126760563,0.00337723784033865,0.00201686592291974,0.00292856769666088,1003,33,36765427.2554926,4.03342857264399e-11,6.95394932258695e-11
"ahoym",2,0,0.00469483568075117,0,0.000938086303939962,0.00293506479189977,22,36,4252763.44146727,4.03339773389852e-11,6.95406861849824e-11
"aikar",3,0.00469483568075117,0.00563380281690141,0.000297249657130622,0.00201501136163683,0.00292632261539053,76,30,10231890.6035193,4.03341781688614e-11,6.95394779739454e-11
"ajcrites",1,0.00187793427230047,0.00751173708920188,7.51393691413674e-08,0.00201463780973874,0.00292674079244599,36,59,5336515.48706565,4.03340613974524e-11,6.95394639116192e-11
"ak239",4,0,0,0,0.000938086303939962,0.000938086303939962,7,1,98938,4.03350974976734e-11,2.17320584823261e-11
"akki",1,0,0.000938967136150235,0,0.000938086303939962,0.00292420140471497,22,16,3596752.9265757,4.03339791642882e-11,6.95393864722125e-11
"aks-",1,0,0,0,0.000938086303939962,0.000938086303939962,25,0,0,4.0336011530227e-11,2.17319571730358e-11
"alFReD-NSH",3,0.00469483568075117,0.0338028169014084,9.14262901465586e-05,0.00201474071327497,0.00292711081794195,40,58,2283084.95519051,4.03342018622594e-11,6.95395238457958e-11
"alexhultman",2,0.00187793427230047,0.000938967136150235,0,0.002013008000998,0.00291946391515188,47,13,3353506.79124729,4.03340666098372e-11,6.95393829034467e-11
